# x	u	v	u_with_step_h	u_with_half_step	err	h
0.001	9.9	-198.499	9.90001	9.9	3.12083e-06	0.001
0.002	9.60783	-382.585	9.60784	9.60783	9.70757e-06	0.001
0.0025	9.39536	-466.235	9.39536	9.39536	4.39549e-07	0.0005
0.003	9.14273	-543.105	9.14273	9.14273	4.67625e-07	0.0005
0.0035	8.85349	-612.61	8.85349	8.85349	4.70408e-07	0.0005
0.004	8.53141	-674.408	8.53141	8.53141	4.5107e-07	0.0005
0.0045	8.18038	-728.393	8.18038	8.18038	4.1424e-07	0.0005
0.005	7.8043	-774.669	7.8043	7.8043	3.65244e-07	0.0005
0.006	6.99194	-845.386	6.99195	6.99194	9.112e-06	0.001
0.007	6.12212	-890.379	6.12212	6.12212	5.61051e-06	0.001
0.008	5.21808	-914.682	5.21809	5.21808	2.71468e-06	0.001
0.009	4.29788	-923.585	4.29788	4.29788	7.15672e-07	0.001
0.01	3.37442	-921.953	3.37442	3.37442	4.45181e-07	0.001
0.011	2.45612	-913.836	2.45612	2.45612	9.89072e-07	0.001
0.012	1.54787	-902.298	1.54787	1.54787	1.15982e-06	0.001
0.013	0.651975	-889.389	0.651974	0.651975	1.15129e-06	0.001
0.014	-0.230821	-876.199	-0.230822	-0.230821	1.08499e-06	0.001
0.015	-1.10041	-862.937	-1.10041	-1.10041	1.01371e-06	0.001
0.016	-1.95648	-849.018	-1.95648	-1.95648	9.33985e-07	0.001
0.017	-2.7978	-833.148	-2.7978	-2.7978	7.994e-07	0.001
0.018	-3.6215	-813.418	-3.6215	-3.6215	5.34119e-07	0.001
0.02	-5.19338	-752.499	-5.19338	-5.19338	6.01766e-06	0.002
0.021	-5.92365	-705.863	-5.92365	-5.92365	1.81229e-06	0.001
0.022	-6.60039	-645.086	-6.60038	-6.60039	3.13459e-06	0.001
0.023	-7.20852	-568.442	-7.20851	-7.20852	4.48369e-06	0.001
0.024	-7.73177	-475.364	-7.73177	-7.73177	5.52551e-06	0.001
0.025	-8.15406	-366.801	-8.15406	-8.15406	5.87083e-06	0.001
0.026	-8.46108	-245.403	-8.46107	-8.46108	5.21196e-06	0.001
0.027	-8.64199	-115.414	-8.64199	-8.64199	3.47899e-06	0.001
0.028	-8.69085	17.738	-8.69085	-8.69085	9.31283e-07	0.001
0.029	-8.60744	148.115	-8.60745	-8.60744	1.88886e-06	0.001
0.03	-8.39744	270.059	-8.39744	-8.39744	4.34109e-06	0.001
0.031	-8.07171	378.909	-8.07171	-8.07171	5.92204e-06	0.001
0.032	-7.64506	471.499	-7.64507	-7.64506	6.42804e-06	0.001
0.033	-7.13465	546.334	-7.13465	-7.13465	5.97312e-06	0.001
